WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.opt1,Input.opt2,Input.opt3,Input.testurl,Input.video,Input.start_img,Input.goal_img,Answer.colorcube,Answer.rating1,Answer.rating2,Answer.rating3,Answer.rating4,Answer.survey_age,Answer.survey_education,Answer.survey_gamer,Answer.survey_robotics,Approve,Reject
A1102MP1CZI32V,Sat Sep 06 00:20:16 GMT 2014,Sat Sep 06 00:38:02 GMT 2014,1066,Red,Yellow,Green,R74AZ5nJ0Bw,//www.youtube.com/embed/6o485OVnazU,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Aug_27_14_44_15,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Aug_27_14_44_15,Yellow,6,4,3,5,age_group_1,education_level_3,yes,no,,
A1102MP1CZI32V,Sat Sep 06 00:21:10 GMT 2014,Sat Sep 06 00:40:34 GMT 2014,1164,Green,Red,Yellow,_4prmWQVXOQ,//www.youtube.com/embed/uYgtgP3eLYw,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Aug_27_14_44_16,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Aug_27_14_44_16,Green,1,1,1,1,age_group_1,education_level_3,yes,no,,
A1102MP1CZI32V,Sat Sep 06 00:20:02 GMT 2014,Sat Sep 06 00:26:30 GMT 2014,388,Yellow,Green,Red,WMwGQhpxRDE,//www.youtube.com/embed/JTfHi2xvOQo,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Aug_27_14_44_17,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Aug_27_14_44_17,Red,1,1,1,1,age_group_1,education_level_3,yes,no,,
A1102MP1CZI32V,Sat Sep 06 00:20:08 GMT 2014,Sat Sep 06 00:27:41 GMT 2014,453,Yellow,Red,Green,R74AZ5nJ0Bw,//www.youtube.com/embed/NqkDAkMSQdk,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Aug_27_14_44_18,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Aug_27_14_44_18,Yellow,3,2,3,3,age_group_1,education_level_3,yes,no,,
A1102MP1CZI32V,Sat Sep 06 00:18:01 GMT 2014,Sat Sep 06 00:19:26 GMT 2014,85,Red,Yellow,Green,_4prmWQVXOQ,//www.youtube.com/embed/qavuFes_nYA,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Aug_27_14_44_19,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Aug_27_14_44_19,Green,3,2,3,3,age_group_1,education_level_3,yes,no,,
A1102MP1CZI32V,Sat Sep 06 00:21:19 GMT 2014,Sat Sep 06 00:43:28 GMT 2014,1329,Green,Red,Yellow,WMwGQhpxRDE,//www.youtube.com/embed/KM_QxwcBrSc,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Aug_27_14_44_20,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Aug_27_14_44_20,Red,5,3,3,4,age_group_1,education_level_3,yes,no,,
A1102MP1CZI32V,Sat Sep 06 00:20:13 GMT 2014,Sat Sep 06 00:37:20 GMT 2014,1027,Yellow,Red,Green,_4prmWQVXOQ,//www.youtube.com/embed/uTDs5cQdFyE,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Aug_27_14_44_22,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Aug_27_14_44_22,Green,2,3,2,2,age_group_1,education_level_3,yes,no,,
A1102MP1CZI32V,Sat Sep 06 00:21:00 GMT 2014,Sat Sep 06 00:38:35 GMT 2014,1055,Red,Yellow,Green,WMwGQhpxRDE,//www.youtube.com/embed/i1OmqeNfKmQ,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Aug_27_14_44_23,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Aug_27_14_44_23,Red,3,2,3,3,age_group_1,education_level_3,yes,no,,
A1102MP1CZI32V,Sat Sep 06 00:20:09 GMT 2014,Sat Sep 06 00:28:17 GMT 2014,488,Green,Red,Yellow,R74AZ5nJ0Bw,//www.youtube.com/embed/BesOQPpKMFE,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Aug_27_14_44_24,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Aug_27_14_44_24,Yellow,4,2,3,3,age_group_1,education_level_3,yes,no,,
A1102MP1CZI32V,Sat Sep 06 00:20:11 GMT 2014,Sat Sep 06 00:36:33 GMT 2014,982,Yellow,Green,Red,_4prmWQVXOQ,//www.youtube.com/embed/Budxen0JJQA,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Aug_27_14_44_25,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Aug_27_14_44_25,Green,2,3,5,3,age_group_1,education_level_3,yes,no,,
A1102MP1CZI32V,Sat Sep 06 00:21:17 GMT 2014,Sat Sep 06 00:42:59 GMT 2014,1302,Yellow,Red,Green,WMwGQhpxRDE,//www.youtube.com/embed/A682l-KTiZc,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Aug_27_14_44_26,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Aug_27_14_44_26,Red,6,5,5,6,age_group_1,education_level_3,yes,no,,
A1102MP1CZI32V,Sat Sep 06 00:21:25 GMT 2014,Sat Sep 06 00:47:50 GMT 2014,1585,Red,Yellow,Green,R74AZ5nJ0Bw,//www.youtube.com/embed/wcFfd6SWFTk,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Aug_27_14_44_27,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Aug_27_14_44_27,Yellow,6,4,5,6,age_group_1,education_level_3,yes,no,,
A1102MP1CZI32V,Sat Sep 06 00:21:22 GMT 2014,Sat Sep 06 00:47:18 GMT 2014,1556,Green,Red,Yellow,_4prmWQVXOQ,//www.youtube.com/embed/rmrXd2NFzyo,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/startimg2014_Aug_27_14_44_28,https://googledrive.com/host/0B71Ei5A1Hd83cEV3c3V3X0hjVWM/goalimg2014_Aug_27_14_44_28,Green,5,3,2,3,age_group_1,education_level_3,yes,no,,
